year_radica,count_a,count_de,tipo_predio_zona,categoria_ruralidad_2024,valor
2023,2,2,URBANO,Ciudades y aglomeraciones,530000000
2023,2,2,URBANO,Ciudades y aglomeraciones,400000000
2023,2,2,URBANO,Ciudades y aglomeraciones,400000000
2023,2,2,URBANO,Ciudades y aglomeraciones,400000000
2021,1,1,URBANO,Ciudades y aglomeraciones,380000000
2022,1,2,URBANO,Ciudades y aglomeraciones,320000000
2023,2,2,URBANO,Ciudades y aglomeraciones,899480000
2023,1,1,URBANO,Ciudades y aglomeraciones,155000000
2022,1,2,URBANO,Ciudades y aglomeraciones,1800000000
2021,2,2,URBANO,Ciudades y aglomeraciones,75000000
2022,2,2,URBANO,Ciudades y aglomeraciones,620000000
2022,1,6,URBANO,Ciudades y aglomeraciones,304000000
2022,1,1,URBANO,Ciudades y aglomeraciones,25000000
2021,2,1,URBANO,Ciudades y aglomeraciones,515000000
2021,1,1,URBANO,Ciudades y aglomeraciones,180000000
2023,2,2,URBANO,Ciudades y aglomeraciones,35000000
2022,1,1,URBANO,Ciudades y aglomeraciones,850000000
2023,2,4,URBANO,Ciudades y aglomeraciones,294000000
2022,5,1,URBANO,Ciudades y aglomeraciones,316000000
2022,1,1,URBANO,Ciudades y aglomeraciones,430000000
2021,1,5,URBANO,Ciudades y aglomeraciones,550000000
2022,2,9,URBANO,Ciudades y aglomeraciones,700000000
2023,1,1,URBANO,Ciudades y aglomeraciones,70000000
2021,1,1,URBANO,Ciudades y aglomeraciones,3860000000
2021,1,1,URBANO,Ciudades y aglomeraciones,286500000
2022,1,5,URBANO,Ciudades y aglomeraciones,654670020
2022,4,1,URBANO,Ciudades y aglomeraciones,330000000
2021,1,2,URBANO,Ciudades y aglomeraciones,590000000
2021,1,4,URBANO,Ciudades y aglomeraciones,255000000
2021,2,1,URBANO,Ciudades y aglomeraciones,200000000
2022,1,1,URBANO,Ciudades y aglomeraciones,920000000
2023,2,4,URBANO,Ciudades y aglomeraciones,548825220
2023,2,4,URBANO,Ciudades y aglomeraciones,548825220
2022,1,2,URBANO,Ciudades y aglomeraciones,135000000
2022,1,3,URBANO,Ciudades y aglomeraciones,329000000
2022,2,1,URBANO,Ciudades y aglomeraciones,580000000
2023,6,2,URBANO,Ciudades y aglomeraciones,450000000
2022,1,1,URBANO,Ciudades y aglomeraciones,290000000
2021,1,5,URBANO,Ciudades y aglomeraciones,120000000
2023,2,2,URBANO,Ciudades y aglomeraciones,390000000
2021,1,1,URBANO,Ciudades y aglomeraciones,220000000
2022,2,2,URBANO,Ciudades y aglomeraciones,320000000
